Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura_TestSuite,Chrome 131.0.0.0,,,10-01-2025 23:25:09,10-01-2025 23:25:25,16.582s,PASSED
,,,,,,,
Test Cases/CURA/Login_TC_01,Chrome 131.0.0.0,,,10-01-2025 23:25:09,10-01-2025 23:25:16,7.088s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,10-01-2025 23:25:09,10-01-2025 23:25:12,2.662s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 131.0.0.0,,,10-01-2025 23:25:12,10-01-2025 23:25:12,0.244s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 131.0.0.0,,,10-01-2025 23:25:12,10-01-2025 23:25:13,1.084s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""))",Chrome 131.0.0.0,,,10-01-2025 23:25:13,10-01-2025 23:25:14,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 131.0.0.0,,,10-01-2025 23:25:14,10-01-2025 23:25:14,0.277s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 131.0.0.0,,,10-01-2025 23:25:14,10-01-2025 23:25:15,0.640s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 131.0.0.0,,,10-01-2025 23:25:15,10-01-2025 23:25:15,0.636s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 131.0.0.0,,,10-01-2025 23:25:15,10-01-2025 23:25:16,0.301s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 131.0.0.0,,,10-01-2025 23:25:16,10-01-2025 23:25:16,0.495s,PASSED
,,,,,,,
Test Cases/CURA/makeAppointment,Chrome 131.0.0.0,,,10-01-2025 23:25:16,10-01-2025 23:25:24,8.139s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,10-01-2025 23:25:16,10-01-2025 23:25:17,1.007s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 131.0.0.0,,,10-01-2025 23:25:17,10-01-2025 23:25:18,0.370s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 131.0.0.0,,,10-01-2025 23:25:18,10-01-2025 23:25:18,0.528s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 131.0.0.0,,,10-01-2025 23:25:18,10-01-2025 23:25:19,0.535s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 131.0.0.0,,,10-01-2025 23:25:19,10-01-2025 23:25:19,0.607s,PASSED
